Project,groups,PL,MenDel.Name,Clone.ID,Sox2 (CAST),Sox2 (BL6),Fold Change,Activity,Paper
Controls,controls,LP167,dLCR,Bl6/C LP167(Sox2_6g_5g)_D11,5.026,12.571,0.005,0.003,EnhancerCluster
Controls,controls,LP305,dLCR,Bl6/C LP305(Sox2_6g_7g)_20210326_C01,5.237,12.855,0.005,0.002,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL188,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E01,5.463,10.077,0.041,0.028,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL188,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E02,5.42,9.807,0.048,0.033,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL188,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E05,6.633,9.647,0.124,0.087,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL188,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E06,5.53,10.483,0.032,0.022,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL188,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E09,5.41,9.823,0.047,0.032,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL189,Sox2_DistalLCR_DHS20andDHS23,BL6/C PL189(Sox2_6_7)_20230203_A01,5.91,8.843,0.131,0.092,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL189,Sox2_DistalLCR_DHS20andDHS23,BL6/C PL189(Sox2_6_7)_20230203_A07,6.417,9.043,0.162,0.114,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL189,Sox2_DistalLCR_DHS20andDHS23,BL6/C PL189(Sox2_6_7)_20230203_A09,6.02,8.837,0.142,0.1,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL189,Sox2_DistalLCR_DHS20andDHS23,BL6/C PL189(Sox2_6_7)_20230203_A10,6.96,9.75,0.145,0.101,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL189,Sox2_DistalLCR_DHS20andDHS23,BL6/C PL189(Sox2_6_7)_20230203_A11,6.05,8.663,0.163,0.115,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_A04,5.767,5.943,0.885,0.627,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_A10,5.593,5.84,0.843,0.597,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_A11,5.96,6.09,0.914,0.648,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_A12,5.853,5.963,0.927,0.657,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_B02,5.767,5.993,0.855,0.605,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL190,Sox2_DistalLCR_DHS19andDHS24,BL6/C PL190(Sox2_6_7)_20221118_B04,6.03,6.16,0.914,0.648,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C01,5.923,6.533,0.655,0.464,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C02,6.013,6.71,0.617,0.437,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C03,5.95,6.537,0.666,0.472,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C06,6.217,6.783,0.675,0.478,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C08,6.43,6.797,0.776,0.549,EnhancerCluster
DistalLCR,DHSs 19 & 20,PL191,Sox2_DistalLCR_DHS20andDHS24,BL6/C PL191(Sox2_6_7)_20221118_C11,5.743,6.31,0.675,0.478,EnhancerCluster
DistalLCR,syn23 & 24,PL192,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,BL6/C PL192(Sox2_6_7)_20221104_A02,5.533,6.12,0.666,0.472,EnhancerCluster
DistalLCR,syn23 & 24,PL192,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,BL6/C PL192(Sox2_6_7)_20221104_A04,5.437,6.2,0.589,0.417,EnhancerCluster
DistalLCR,syn23 & 24,PL192,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,BL6/C PL192(Sox2_6_7)_20221104_A05,5.383,6.107,0.606,0.429,EnhancerCluster
DistalLCR,syn23 & 24,PL192,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,BL6/C PL192(Sox2_6_7)_20221104_A07,5.103,5.647,0.686,0.486,EnhancerCluster
