PL,MenDel.Name,Category
LP140,dSox2,NA
LP167,dLCR,NA
LP300,dSox2,NA
LP305,dLCR,NA
PL003,Sox2_Sox2_46kbp~dDistalLCR,DHS Level
PL004,Sox2_Sox2_101kb~dDistalLCR,DHS Level
PL005,Sox2_Sox2_126kb~dProximalLCR,DHS Level
PL006,Sox2_Sox2_143kb,DHS Level
PL018,Sox2_DistalLCR_WT,DHS Level
PL020,Sox2_DistalLCR_dDHS23toDHS27,DHS Level
PL022,Sox2_DistalLCR_dCTCF25andDHS26andCTCF28,DHS Level
PL024,Sox2_DistalLCR_dDHS20,DHS Level
PL025,Sox2_DistalLCR_dDHS27,DHS Level
PL026,Sox2_DistalLCR_dDHS21toDHS22,DHS Level
PL027,Sox2_DistalLCR_dCTCF28,DHS Level
PL027,Sox2_DistalLCR_dDHS26toDHS27andCTCF28,DHS Level
PL028,Sox2_DistalLCR_dDHS23,DHS Level
PL029,Sox2_DistalLCR_dCTCF25,DHS Level
PL030,Sox2_DistalLCR_dDHS24,DHS Level
PL031,Sox2_DistalLCR_dDHS26,DHS Level
PL034,Sox2_DistalLCR_dDHS20toDHS23~3,DHS Level
PL034,Sox2_DistalLCR_dDHS21,DHS Level
PL034,Sox2_DistalLCR_dDHS21andCTCF28,DHS Level
PL050,Sox2_DistalLCR_dDHS19toDHS20,DHS Level
PL051,Sox2_Sox2_d3p5pProximal,DHS Level
PL052,Sox2_Sox2_d3pProximal,DHS Level
PL053,Sox2_Sox2_dIntervening,DHS Level
PL063,Sox2_Sox2_dProxEnhancers,DHS Level
PL074,Sox2_DistalLCR_WT~inverted,DHS Level
PL075,Sox2_DistalLCR_DHS23toDHS27,DHS Level
PL076,Sox2_DistalLCR_DHS23toDHS27~inverted,DHS Level
PL077,Sox2_DistalLCR_dDHS23toCTCF25,DHS Level
PL078,Sox2_DistalLCR_DHS23toCTCF25,DHS Level
PL079,Sox2_DistalLCR_DHS23toCTCF25~inverted,DHS Level
PL083,Sox2_DistalLCR_DHS24,DHS Level
PL084,Sox2_DistalLCR_DHS24toCTCF25,DHS Level
PL095,Sox2_DistalLCR_DHS24toCTCF28,DHS Level
PL100,Sox2_Sox2_126kb~dProximalLCRandCTCF17,DHS Level
PL105,Sox2_DistalLCR_dDHS20toDHS27,DHS Level
PL105,Sox2_DistalLCR_dDHS23toDHS24,DHS Level
PL106,Sox2_DistalLCR_DHS24~DHS23~CTCF25,DHS Level
PL107,Sox2_DistalLCR_CTCF25~DHS23~DHS24,DHS Level
PL108,Sox2_DistalLCR_DHS23~CTCF25~DHS24,DHS Level
PL109,Sox2_DistalLCR_DHS23~DHS24~DHS26~CTCF25,DHS Level
PL110,Sox2_DistalLCR_DHS23,DHS Level
PL111,Sox2_DistalLCR_DHS23andDHS24,DHS Level
PL112,Sox2_DistalLCR_DHS23toDHS26,DHS Level
PL113,Sox2_DistalLCR_DHS23andCTCF25,DHS Level
PL114,Sox2_DistalLCR_DHS24toCTCF25~inverted,DHS Level
PL115,Sox2_DistalLCR_DHS23toDHS26~invertedDHS23andDHS24,DHS Level
PL116,Sox2_DistalLCR_DHS23toDHS26~invertedCTCF25,DHS Level
PL117,Sox2_DistalLCR_DHS23toDHS26~invertedDHS26,DHS Level
PL118,Sox2_DistalLCR_DHS19andDHS20andCTCF25toDHS26,DHS Level
PL119,Sox2_DistalLCR_2xDHS24,DHS Level
PL121,Sox2_DistalLCR_DHS23toDHS27~dCTCF,DHS Level
PL122,Sox2_DistalLCR_DHS23toDHS27~CTCF~Divergent,DHS Level
PL123,Sox2_DistalLCR_dDHS20toCTCF28,DHS Level
